title,question,answers
Myanmar,What part of the populace does not  identify with conformists religious  majority?,7% of the population identifies as Christian; 4% as Muslim; 1% follows traditional animistic beliefs; and 2% follow other religions
Detroit,What is a famous opera house in Detroit?,Detroit Opera House
Brain,Who found out that a shock of electricity to an exposed nerve of a dead frog caused contractions?,Luigi Galvani
Protestantism,What created the differentiation of Protestant branches?,how they have been influenced by important movements since the Reformation
Galicia_(Spain),The Romans used which lighthouse located in Corunna as part of its effort to establish control the area?,Tower of Hercules
Renewable_energy_commercialization,Which country is the largest hydroelectricity producer?,China
Szlachta,When did the right to create ordynacja's happen?,late 16th century
Dog,What is the average lifespan for a Dogue de Borddeaux?,5.2 years
Hunting,How much money has the sale of Federal Duck Stamps generated since 1934?,$670 million
Seven_Years%27_War,Who was the European partner of the Iroquois?,"The Iroquois, dominant in what is now Upstate New York, sided with the British"
Phonology,When was the phonome's modern concept developed?,mid 20th century
Queen_Victoria,Who won the 1880 general election?,Gladstone
Szlachta,WHen did they find the polish kingdom?,about the fifth century.
Computer,"In computer terms, what does PC stand for?",personal computers
Dutch_language,About what percentage of residents of Suriname speak Dutch?,60
Brigham_Young_University,What event prompted BYU Pres. Howard S. MacDonald to purchase a portion of an Air Force Base to house a sudden influx of students?,the Second World War had just ended
Samurai,When was the word 'samurahi' used?,the Edo period
Muammar_Gaddafi,How many Americans died in the Berlin disco bombing of 1986?,two
On_the_Origin_of_Species,What does Darwin note about the embryos of many different species in the same class?,animals of the same class often have extremely similar embryos
Party_leaders_of_the_United_States_House_of_Representatives,Which party has always elevated minority floor leaders to speakership?,Democrats
Florida,What did Spanish settlers introduce to Florida ,"Christianity, cattle, horses, sheep, the Spanish language, and more"
Elizabeth_II,When did Princess Margaret separate from her husband?,1977
Southampton,What's the only other city in England besides Portsmouth more densely populated than Southampton?,London
Aspirated_consonant,"When following a word such as spill, they are what for most speakers?",unaspirated
Buddhism,"In awakening to the true nature of the self, one no longer care about what?",objects
"Richmond,_Virginia","In 1985, how many people were murdered in Richmond?",93
Economic_inequality,What controls wages in a purely capitalist mode of production?,"['market', 'the market']"
Pope_Paul_VI,What did Paul VI donate to the Basilica of the National Shrine of the Immaculate Conception ?,Papal Tiara
Germans,Who was Johann Herder?,German philosopher
Adolescence,Nearly half of Americam high school girls hope to achieve what goal with their diet?,lose weight
IPod,What was the value of Apple's cash assets at the end of 2007?,$15.4 billion
Civil_disobedience,What is it called when people in society rebel against laws they think are unfair?,Civil disobedience
Financial_crisis_of_2007%E2%80%9308,What securities had lower credit ratings but potentially a higher rate of return?,Securities with lower priority
Israel,Who won the Chess Cup in 2009?,Boris Gelfand
Black_Death,What was the Plos Pathogens paper about?,"['the role of Yersinia pestis in the Black Death', 'role of Yersinia pestis in the Black Death', 'a new investigation into the role of Yersinia pestis in the Black Death']"
Spanish_language_in_the_United_States,Why didn't California officially become  bilingual?,the convention's English-speaking participants felt that the state's remaining minority of Spanish-speakers should simply learn English
Gothic_architecture,What church was widespread across Europe at this time?,The Catholic Church
European_Union_law,When were competition rules included in the Treaty of Rome?,1957
Ashkenazi_Jews,The 2010 study found that what modern population is most closely related to Ashkenazi Jews?,modern-day Italians
Pub,"Aside from beverages, what types of food do pubs typically offer?",snacks
Hunting,What is the requirement of the act?,annual stamp purchase by all hunters over the age of sixteen
Warsaw,Whose former headquarters was the WSE located in until 2000?,Polish United Workers' Party
Railway_electrification_system,Why some sections of Bakerloo and District lines were rewired to three-rail system?,to simplify rolling stock use
Eritrea,Who prompted Eritrea to be federated with Ethiopia in 1950?,United States
Armenia,When was the Transcaucasian SFSR formed?,4 March 1922
Time,Which device uses the flow of sand to measure time?,The hourglass
Madrasa,What practice was desired through connecting religion and schools?,Islamic orthodoxy
The_Blitz,Coupled with British quick reactions what cause operational capacity hard to achieve?,limitations in weapons technology
Himachal_Pradesh,When did Himachal Pradesh become a union territory?,1 November 1956
Umayyad_Caliphate,"Along with Muawiyah, Abu Sufyan ibn Harb and Yazid ibn Abi Sufyan, what notable Muslim participated in the Battle of Yarmouk?",Hind bint Utbah
Materialism,"In regards to the mind, what are 3 theories that modern day philosophers try to harmonize?","functionalism, anomalous monism, identity theory"
Alexander_Graham_Bell,What building was Bell in?,Somerset College
USB,USB 2.0 High-Speed Inter-Chip (HSIC) is a what?,chip-to-chip variant of USB 2.0
East_India_Company,Due to agreed debt what 250 tons  product was first permitted to be exported by the company after the seven years' war?,saltpetre
Myanmar,Who is the president of the BROUK's UK division?,Tun Khin
Queen_Victoria,"Who opposed Victoria marrying Albert, or any Coburg?",William IV
Alaska,In what region of Alaska is the daytime temperature above freezing during summer?,Southeast
Oklahoma_City,Which side is more urban and fashionable?,North Oklahoma City
Cyprus,What type of artistic form flourished at the time of the Middle Ages?,Epic poetry
Human_Development_Index,What period was covered by the statistical update index released in December of 2008?,up to 2006
Queen_(band),What date was Live Aid?,13 July 1985
Biodiversity,What type of diversity arrives uninvited?,associated diversity
Plymouth,In what year was Plymouth Synagogue constructed?,1762
Nigeria,What part of Nigeria is the Obudu Plateau in?,southeast
Arsenal_F.C.,At what rank in value in the Premier League is Arsenal?,second highest
Kanye_West,How many people petitioned his show at the Glastonbury Music Festival in the UK?,"135,000"
Great_power,The winners of World War II along with France were allotted permanent seats for what organization?,United Nations Security Council
Dialect,What is the definition of mutual intelligibility?,if being a speaker of one variety confers sufficient knowledge to understand and be understood by a speaker of the other
Pacific_War,What was the last battleship in history to engage in combat with another battleship?,Yamashiro
Nigeria,Which countries' explorers were the first Europeans to trade with Nigeria?,Spanish and Portuguese
Dog,"In neutering, what is removed in a male dog?",testicles
Space_Race,"Man in Space Soonest was reestablished as what in November 26, 1958?",Project Mercury
Universal_Studios,Who bought 51% of NBC Universal in 2011?,Comcast
Dog,"What type of working dog may have been the reason so many humans were able to get into North America 12,000 tears ago?",sled dogs
Himachal_Pradesh,Why did the  Chief Commissioners Province of HP come into being?,as a result of integration of 28 petty princely states
Anti-aircraft_warfare,What are larger weapon systems usually mounted on?,trailers
Literature,"Besides this major division, what are two other sub-divisions to describe literature?",poetry or prose
Alfred_North_Whitehead,How many modes does perception occur in according to Whitehead?,two
Middle_Ages,Who was made pope in 1417?,Martin V
On_the_Origin_of_Species,Who wrote The Principles of Geology?,Charles Lyell
Kanye_West,When was 808s & Heartbreaks released? ,November 2008
Galicia_(Spain),What does the Castro culture's name mean?,Culture of the Castles
Napoleon,Approximately how many troops were in the army Napoleon led into Damascus?,"13,000"
Alfred_North_Whitehead,What was Whitehead's opinion on privacy?,almost fanatical belief in the right to privacy
Mandolin,What instrument did artist Bill Monroe use? ,F-5 S/N 73987
"John,_King_of_England",Who suspected that the proposed baronial council would be unacceptable?,rebel barons
Old_English,How did Old English strong verbs express the past tense?,altering the root vowel
Anthropology,What is the study of interaction between living things?,Anthrozoology
Construction,What are some existing facilities?,"['electrical, water, sewage, phone, and cable facilities', 'electrical, water, sewage, phone, and cable']"
Freemasonry,The fifteenth century also shows evidence of what in Masonic history?,ceremonial regalia.
Race_(human_categorization),What do people with a high quality of African descent classify themselves as?,mixed
Federal_Bureau_of_Investigation,What Puerto Rican leader did the FBI spy on?,Pedro Albizu Campos
Humanism,What early adopter and developer of is associated with Confucianism?,Book of History
Baptists,Knibb also protagonised the creation of what?,Free Villages
North_Carolina,What was the name of the largest battle fought in North Carolina?,Bentonville
Republic_of_the_Congo,What country does Kinshasa serve as capital of?,Democratic Republic of the Congo
YouTube,As per estimate in 2013 how much would a partner program member earn with ad revenue off of pre-roll advertising per 1000 views?,$2.09
Mary_(mother_of_Jesus),Which icon is most venerated in the Orthodox Church?,icon of the Virgin Theotokos
Thuringia,Where does the name Thuringia come from?,the Germanic tribe Thuringii
Light-emitting_diode,What type of atmosphere can LED lighting be used?,environmental
On_the_Origin_of_Species,What concept was de Candolle considering as he studied plants?,"""warring of the species"""
Internet_service_provider,What are free ISPs?,Internet service providers that provide service free of charge
Marshall_Islands,What was the amount of the loan to the tuna loining plant that the Marshall Islands government was responsible for?,$2 million
Frédéric_Chopin,Chopin was able to bring about a new sense of nationalism with his music because of his mazurkas and what?,polonaises
Adult_contemporary_music,What radio station format is facing demographic pressures in the present day?,oldies
Queen_Victoria,How old was Princess Victoria when she agreed to marry the Prince?,14
Canon_law,Who enforces canon law in Catholicism?,the Church's hierarchical authorities
PlayStation_3,"Assuming iSuppli got the numbers right, how much of a loss did Sony take for every 20 GB PS3 sold in the U.S.?",$306
Near_East,The Library of Congress is under whose supervision?,the United States Congress Joint Committee on the Library
Middle_Ages,What English popular revolt took place during this period?,the Peasants' Revolt
Elevator,Moving the helve forward causes the cab to do what?,to rise
Switzerland,Who rejected the  2007 vote to overturn the motorsport ban in Switzerland?,Swiss Council of States
Steam_engine,What was the name of Watt's partner?,Boulton
Armenians,How many native Armenians are in Armenia today?,3.5 million
Carnival,Who has a lovely breast?,Marquès
IPod,What kind of terms and conditions led HP to leave the iPod market?,unfavorable
Greece,Where does Greece rank in number of tankers?,first
God,What is Richard Dawkins belief about the existence of God?,"""a universe with a god would be a completely different kind of universe from one without, and it would be a scientific difference."""
Boston,What is the density of Boston's population?,"12,200 persons/sq mile"
Race_and_ethnicity_in_the_United_States_Census,In what year did a federal judge say that three immigrants from Mexico were not eligible to be citizens because of their race?,1935
Indigenous_peoples_of_the_Americas,"In Quebec, The Guianas and places in the Caribbean where English is spoken, what is the preferred term for the indigenous people of the Americas?",Amerindian
Elevator,What is the main feature of this attraction?,a simulated free-fall achieved through the use of a high-speed elevator system
Age_of_Enlightenment,Which countries had a large Catholic element and therefore had confrontation with Freemasons?,"France, Italy, Spain, and Mexico"
Botany,What is the term for the most complex plant life in a specific environment?,climax vegetation
History_of_India,What area did Harsha unite during his reign?,northern India
Antarctica,How many miles long is Antarctica's coast line?,"11,165"
Frédéric_Chopin,What did Chopin create for Grand Duke Constantine?,a march
USB,What is an important advantage of USB?,it is possible to install and remove devices without rebooting the computer
Franco-Prussian_War,In which French city was the surrender made official?,Versailles
History_of_science,What do the findings in the graveyards show evidence of?,proto-dentistry
British_Isles,What is another name that is used for the British Isles?,Anglo-Celtic Isles
Uranium,What is a strong source of radiation that is blocked by depleted uranium?,radium
Carnival,What are women rewarded with for kissing the giant phalluses?,a shot of the famous local tsipouro alcohol spirit
Alfred_North_Whitehead,What did Whitehead first study?,mathematics
Genome,In what year was the archaeon genome sequenced?,1996
Poultry,How long does it take for the flu vaccine to be fully ready for deployment into the population ?,process that takes about six months
Economy_of_Greece,What percentage of the world's bulk carriers are Greece's?,16.1%
"Santa_Monica,_California",What type of games is Santa Monica featured in?,video
Asphalt,What is the name of the world's greatest deposit of bitumen?,Athabasca oil sands
FA_Cup,How many second tier have made the finals? ,only 24 finalists have come from outside English football's top tier
Pope_John_XXIII,What did John XXIII die of?,peritonitis
New_York_City,"After which war did England gain New York in exchange for Run, an Indonesian island?",Second Anglo-Dutch War
"New_Haven,_Connecticut",The two eastern rivers meets in which of New Haven Harbor?,New Haven Harbor
Spanish_language_in_the_United_States,How many Spanish speaking students are there in the United States?,six million Spanish language students.
Franco-Prussian_War,Whose ambitions are credited with causing the conflict?,Prussian ambitions
Gramophone_record,By the mid 1940s what was the primary material records were made of?,vinyl
FC_Barcelona,What did the resulting violence perpetrated by the extremists produce?,large-scale arrests
Seattle,How many of the Fortune 500 companies are based in Seattle?,Four
Near_East,The Ministry of Foreign Affairs of the Republic of Turkey does not use what term?,Near East
Zhejiang,"Which historical novel records that Zhejiang had the best-equipped, strong navy force?",Romance of the Three Kingdoms
New_York_City,What was the second largest city in the United States in 1790?,Philadelphia
Queen_(band),Queen's News of the World contained which two rock anthems?,"""We Will Rock You"" and the rock ballad ""We Are the Champions"""
Ottoman_Empire,The Ottoman Empire caused navigators from which two nations to find another route to the Orient?,Spanish and Portuguese
Economic_inequality,What does wealth disparity make the economy more prone to?,boom-and-bust cycles
Prime_number,"Other than 7 and 13, what other year interval do cicadas pupate? ","['17', '17 years']"
Professional_wrestling,Who hosts Real Sports?,Bryant Gumbel
Elevator,What is the purpose of the Phase-two mode?,This mode was created for firefighters so that they may rescue people from a burning building
Pope_Paul_VI,What did Paul VI enact between the third and fourth ecumenical sessions?,reforms
"United_States_presidential_election,_2004","Which candidate dropped out of the race, following losing the Oklahoma primary?",Lieberman
University_of_Kansas,When was KU's first student union constructed?,1926
Dutch_Republic,What was one of the conquests of the Dutch Navy?,breaking the Portuguese sphere of influence on the Indian Ocean and in the Orient
Westminster_Abbey,Westminster Abbey suffered damage during what on 15 November 1940?,the Blitz
Treaty,What type of norm is recognized as permitting no violations and so cannot be altered through treaty obligations?,peremptory norm
Namibia,How many deaths were associated with HIV/AIDS in Namibia in 2003?,"16,000."
Post-punk,What did the Art of Noise hope to accomplish?,attempt to bring sampled and electronic sounds to the pop mainstream
Pharmaceutical_industry,What virus caused tumors in most mammals?,SV40
Ottoman_Empire,What ethnic group was deported by the Ottoman Government from eastern Anatolia?,ethnic Armenian
"Tucson,_Arizona",What was the estimated population of the entire Tuscan area in 2013? ,"996,544"
Textual_criticism,What is the main criticism of Greg's work?,works where an author's manuscript survived
Royal_Dutch_Shell,Royal Dutch Shell agreed to acquire all the business of what entity in June 2010?,East Resources
British_Empire,When did the Anglo-Irish War end?,1921
Queen_Victoria,"Who did Victoria describe as sensible, kind, and amiable?",Albert
Political_corruption,When did the United Nations Convention against Corruption join?,2003
London,"According to the Anglo-Saxon chronicle, who reestablished London in 886 AD?",Alfred the Great
To_Kill_a_Mockingbird,Who rescued Scout and Jem?,Boo Radley
Circadian_rhythm,What gene needs to be deleted to cause obesity in mice?,Rev-ErbA alpha clock
Boston,How many square miles of water is Boston?,41.2 square miles
Qing_dynasty,How many literary persecutions were there under Qianlongs reign?,53
Pharmaceutical_industry,In what year did GlaxoSmithKline pay a $3 billion dollar settlement?,2012
Avicenna,"In Avicenna's work ""Floating Man"", what is the core of a human being?","the knowledge that ""I am"""
United_States_Air_Force,When was the current USAF dress uniform standardized? ,1995
Capital_punishment_in_the_United_States,In what year was the death penalty suspended in the US?,1972
Southampton,Which anniversary did P&O celebrate in Southampton?,175th
2008_Summer_Olympics_torch_relay,Various French politicians started protests including members of what?,Parliament
New_Delhi,What is the name of the empire for which Delhi served as the political and financial capital from 1649 to 1857?,Mughal Empire
Treaty,"Under US law, what primarily distinguishes treaties, executive agreements, congressional-executive agreements, and sole executive agreements?",their method of approval
To_Kill_a_Mockingbird,What drives the plot of the book more than the characters?,The South itself
Montevideo,Montevideo is the hub of commerce and higher education in what area?,Uruguay
"United_States_presidential_election,_2004",Which candidate was the fore-runner after definitively winning in the primaries and Minnesota caucuses?,Kerry
Hard_rock,What instrument works in tandem with the drums to provide hard rock rhythms?,The bass guitar
Montevideo,What is the only psychiatric hospital in Montevideo?,Hospital Vilardebó
Antenna_(radio),How is this process usually used for transmission lines and antennas?,balun
Dutch_language,"What's the English type equivalent for the Dutch word order that is an interrogative pronoun/expression, then a verb followed by a subject?",a wh-question
British_Empire,When was the Treaty of Paris?,1763
Financial_crisis_of_2007%E2%80%9308,What term refers to the ongoing development of financial products?,financial innovation
Gene,What example of post-translational modification of a protein was first described in 1961?,The regulation of lactose metabolism genes in E. coli
Sino-Tibetan_relations_during_the_Ming_dynasty,When was the Marquis Mu Ying commissioned to quell?,November 1378
PlayStation_3,What did Spong said you have to do to the disc loader before the console will start reading the disc?,close the cover
San_Diego,What airplane developer was founded in San Diego in 1923?,Consolidated Aircraft
Financial_crisis_of_2007%E2%80%9308,When did Moody's and Standard & Poor downgrade a significant number of IndyMac's MBS bonds?,April 2008
Egypt,What art required adherence to rigid code?,wall paintings done in the service of the Pharaohs
Madrasa,What type of physical fitness activities were taught in the early madaris?,athletics and martial arts
Race_(human_categorization),What has led to many tragic instances of events like slavery and genocide?,Racism
MP3,Who administered the longest running MP3 patent in the United States?,Technicolor
Military_history_of_the_United_States,When did US marines land in Lebanon?,1982
Middle_Ages,What leader was victorious at the Battle of Poitiers?,Charles Martel
Saint_Helena,How big is the satellite dish at the satellite ground station in feet?,25
Umayyad_Caliphate,"Traditionally, who did the Umayyads and Muhammad both descend from?",Abd Manaf ibn Qusai
Translation,What Latin word does the English word translation come from?,translatio
Neptune,Which direction does Neptune's winds move relevant to the plant's rotation?,opposite
Affirmative_action_in_the_United_States,What are public universities not allowed to do?,set specific numerical targets based on race for admissions or employment
Translation,"When did Schleiermacher publish his lecture ""On the Different Methods of Translation""?",1813
Internet_service_provider,how did president obama recommend to classify the internet? ,a telecommunications service
The_Legend_of_Zelda:_Twilight_Princess,The Wii version makes use of what kind of sensors?,motion
American_Idol,What television network in Asia shows American Idol? ,STAR World
Beyoncé,Beyonce self proclaimed alter ego is named what?,Sasha Fierce
"Punjab,_Pakistan",What empire was Taxila a center of learning of?,the Maurya Empire
Race_(human_categorization),Who promotes the use of racially categorized data in the United States?,federal government
History_of_India,What did Indians finally begin to demand?,complete independence
Electric_motor,A torque motor at low voltage provides what?,constant light tension
Bird_migration,Where are chaffinches Fringilla coelebs from?,Eastern Fennoscandia
Harvard_University,What is the name of Harvard's primary recreational sports facility?,Malkin Athletic Center
San_Diego,What big event takes place in San Diego in November?,San Diego Beer Week
Montevideo,What is the tallest skyscraper in the country?,ANTEL Telecommunication Tower
Chihuahua_(state),Who was deeply dissatisfied with Bazaine's decision to abandon Chihuahua?,Maximilian
IPod,Which iPod model has its battery soldered into the unit?,Nano
Tennessee,Since which year has Tennessee's 1st congressional district voted overwhelmingly Republican?,1881
Bird,What is a multi-purpose opening on birds?,cloaca
Multiracial_American,Who will not reveal full ancestral data to mixed race people?,elder family members
Prime_number,"According to Fermat's theorem, what period does 1/p always have assuming p is prime that is not 2 or 5?","['p − 1', 'p − 1 or a divisor of p − 1']"
Valencia,How many people died when the Valencia metro derailed?,43
Estonia,What is the strongest research body that executes fundamental and applied research?,the National Institute of Chemical Physics and Biophysics
Hydrogen,"When hydrogen oxidates, what does it end up giving?",H+
Zinc,Why does the Geul River contain heavy metals in a significant amount?,mining operations leach significant amounts of zinc and cadmium
Franco-Prussian_War,How many divisions did MacMahon command?,four divisions
MP3,What kind of sound did students seem to prefer?,sizzle
Green,When was green associated with the romantic movement in literature and art?,18th and 19th century
God,What do members of the Bahá'í Faith call God?,Baha
Qing_dynasty,What caused the Qing armies to lose many battles?,Taiping Rebellion
Carnival,What is insufficient to establish a direct origin from ancient festivals to Carnival?,evidence
Qing_dynasty,What 5 ports did the treaty force open?,"Canton, Amoy, Fuchow, Ningpo and Shanghai"
Pharmacy,What is a reason for the movement to legalize importing medicines from other countries?,"['to reduce consumer costs', 'in order to reduce consumer costs', 'reduce consumer costs']"
War_on_Terror,How many troops did the Netherlands send initially?,"1,400"
Beyoncé,Who did Beyoncé tell in 2013 to only use natural pictures of her rather than retouched images?,H&M
CBC_Television,"Which stations break convention and begin with ""CF"" instead of ""CB""?",CBC North
Edmund_Burke,What type of people did Trinity College Dublin not allow to earn degrees there?,Catholics
Bermuda,"Who began experimenting with flights from Berlin to New York, stopping in the azores?",Luft Hansa
Mary_(mother_of_Jesus),Which goddess was worshipped in Ephesus before Mary?,Artemis
"John,_King_of_England",Which historians wrote early in John's life?,"Richard of Devizes, William of Newburgh, Roger of Hoveden and Ralph de Diceto"
Chicago_Cubs,What poem did Franklin Pierce Adams write? ,"""Baseball's Sad Lexicon,"
Renewable_energy_commercialization,Analysts expect the market to triple by what year?,2030
European_Union_law,What type of company is Van Gend en Loos?,a postal company
Military_history_of_the_United_States,What did Washington do after defeating the British Army?,he retired quietly to his farm in Virginia.
University,In what year did the Robbins report say that universities should have four objectives to remain balanced?,1963
Gramophone_record,What invention did Thomas Hutchinson introduce?,spider
Korean_War,Who's control did the Chinese Communists escape in the 1930's?,Chiang Kai-shek
"New_Haven,_Connecticut",The protest also initiate the start of criticizing what presidential administration?,the Nixon Administration
Han_dynasty,When did Dou Wu die?,168 AD
A_cappella,What is another term occasionally used to refer to A cappella?,alla breve
Pub,What were licenses called that allowed spirits to be served at temporary premises?,Occasional Licences
Detroit,What is the railway tunnel to Canada called?,Michigan Central Railway Tunnel
Republic_of_the_Congo,Which group studied gorillas in 2006-07?,Wildlife Conservation Society
United_States_Air_Force,What does the abbreviation DCA stand for? ,Defensive Counterair
MP3,When was the draft passed to have MPEG-1 Audio approved as a standard?,1991
Saint_Helena,Where does the Governor's cup take place? ,"between Cape Town and Saint Helena island,"
Solar_energy,In what year did solar engine build his solar engine?,1897
Mandolin,Who was Monroe's most influential follower?,Frank Wakefield
Annelid,What type of forests can be hurt by invasive worms?,Northern hardwood forests
Dominican_Order,What two groups grew quickly during the Middle Ages?,the Dominicans and Franciscans
IPod,What was the name of the DRM system originally used by Apple and iTunes?,FairPlay
American_Idol,Who broadcasts Idol in southeast Asia?,STAR World
Beer,How much alcohol is in Schorschbock 57?,"57,5%"
New_Delhi,On what date was New Delhi inaugurated?,13 February 1931
Buddhism,The upanishads statements reflect what type of tradition?,contemplative
History_of_India,How many people migrated between the newly created countries of India and Pakistan?,12 million
University_of_Chicago,What alumni member also write the bestseller Before I Fall?,Lauren Oliver
"Tucson,_Arizona",What is the name of the High School in the area of Southeast Tuscon?,Santa Rita High School
Galicia_(Spain),Which province is this capital in?,A Coruña
Computer,"Besides the ALU, input and output devices, what are the other two main components of a computer?","the control unit, the memory"
Biodiversity,What type of a society primarily grows monocultures?,agricultural society
Southampton,What kind of music does Wave 105 play?,adult contemporary
Plymouth,What was the United Kingdom's average per capita GVA in 2013?,"£23,755"
European_Union_law,At what age did British Gas plc force their workers to retire?,women retire at age 60 and men at 65
Wood,What is fat lighter practically impervious to in addition to termites?,rot
Guam,Which animal was accidentally introduced into Guam?,brown tree snake
Hellenistic_period,When was the Kingdom of Pontus founded?,291 BC
Royal_assent,In whatear did several members refuse to attend the assention ceremony after a heated debate?,1960
British_Empire,The Great Depression helped which countries' governments become more militaristic?,Japan and Germany
Premier_League,In which year did the Premier League decide to give BSkyB broadcasting rights?,1992
Pesticide,What is one country that has sucessfully used IPM?,Australia
Transistor,Who invented the point-contact transistor?,Herbert Mataré and Heinrich Welker
Germans,What period in history do we see the emergence of German culture?,High Middle Ages
Samoa,In what year did Manu Samoa make it to the second round of the World Cup?,1999
Turner_Classic_Movies,What movie block shows silent films?,Silent Sunday Nights
Military_history_of_the_United_States,What officer rotation doctrine was developed under Root's guidance?,the principle of rotating officers from staff to line
Institute_of_technology,What's the name of Mauritius's sole technical university?,"University of Technology, Mauritius"
Dell,What was happening to Dell's average sale to individuals?,going up
PlayStation_3,What reason did Sony give for taking out OtherOS?,security concerns
Buddhism,What type of Buddhism adds a fourth refuge?,Tibetan
Space_Race,The first probe to land on the Moon was in what year?,1959
Somerset,What type of festival is Glastonbury famous for ,Glastonbury also gives its name to an annual open-air rock festival held in nearby Pilton
Nutrition,The metabolic syndrome is a term that refers to which health issue?,insulin resistance
British_Empire,What was the Spanish term for permission to sell slaves in Spanish America?,asiento
Spectre_(2015_film),Which organization provided water for weather effects?,London Fire Brigade
Gramophone_record,Do all grooves bear data?,no
European_Union_law,Can the President of the Council vote on important matters related to the European Central Bank?,"['not', 'do not have voting rights']"
Multiracial_American,What does a person have to have to be an octoroon?,one black great-grandparent and the remainder white
Chihuahua_(state),In which year was the treaty signed?,1848
Hellenistic_period,"After Antigonus was killed, what region did Seleucus take over?",Cilicia
Antibiotics,Who else uses antibiotics besides the medical industry?,livestock raising
Frédéric_Chopin,In what month and year did Chopin give his final performance?,February 1848
Queen_(band),Which Queen album had more shared writing credits?,The Miracle
Windows_8,How much money was allocated to advertise Windows 8?,$1.5–1.8 billion
Apollo,Who is said to be the builder of the labyrinth?,Daedalus
Mali,What was the name of the Empire that the country is now named after?,Mali Empire (for which Mali is named)
Tuberculosis,Is the division rate of the TB bacterium fast or slow relative to other bacteria?,slow
Computer,"At the University of Manchester, who oversaw the building of a computer using transistors instead of valves?",Tom Kilburn
Imperialism,What provided an incentive to western empires to colonize Africa?,"['blank spaces on contemporary maps', 'fill in blank spaces on contemporary maps', 'blank space', 'maps']"
Crimean_War,"After giving up their position at Poti and Redut Kale, where did the Russians retreat to?",Marani
Unicode,What happens when a name is defective or misleading?,a formal alias may be defined
Imperialism,Imperialism is most often associated with which sovereignty?,"['British Empire', 'the British Empire', 'British', 'Terra nullius']"
Electric_motor,Who created the first electrostatic device?,Andrew Gordon
Late_Middle_Ages,Which philosopher believed that reason and faith were to be kept separate?,William of Ockham
"Fresno,_California",What was the Fresno Fairgrounds used as?,an assembly center
Philadelphia,Has violent crime rate fallen or risen in the last 10 years?,fell
Carnival,When do the processions occur after?,an opera performance
Middle_Ages,What period resulted in poor weather that increased crop failures?,the Little Ice Age
Athanasius_of_Alexandria,What was the belief that was approved at this council?,"The Son to be ""like the Father"""
Apollo,Where was Leto worshipped?,Asia Minor
"John,_King_of_England",John did not regard the loss of Duchy as a permanent shift in what?,Capetian power
Multiracial_American,What did President Sarkozy think Secretary of State Rice was?,recent American immigrant
Greeks,what does the author of the mortal female focused early example hexameter poetry say of the Hellenic protector ?,Hellen was the son of Deucalion who ruled around Phthia in central Greece.
Botany,What is the function of ATP and NADPH molecules?,store and transport energy
"New_Haven,_Connecticut","There is a museum on Whitney Avenue that contain a variety of historical treasure, what is its' name?",New Haven Museum and Historical Society
San_Diego,What was the original name of today's Marine Corps Air Station Miramar?,Camp Kearny
New_Delhi,How many works of art currently reside in the National Museum?,"200,000"
The_Sun_(United_Kingdom),Which newspaper overtook The Sun as largest Saturday UK newspaper?,Daily Mail
Mammal,From whom did McKenna inherit the project from?,Simpson
University_of_Chicago,What institute did the university announced to everyone in 2008?,Milton Friedman Institute
Mosaic,What survives of the mosaics that adorned the walls and dome of the Church of the Holy Sepulchre?,Nothing
Queen_(band),Who were the season 8 finalists on American Idol?,Adam Lambert and Kris Allen
"St._John%27s,_Newfoundland_and_Labrador","What is supported by the federal, provincial and municipal governments?",civil service
Economic_inequality,Why do firms substitute equipment for workers?,"['reduce costs and maximize profits', 'to reduce costs and maximize profits', 'raises the productivity of each worker']"
Arena_Football_League,Where did Scott Butera work prior to becoming AFL commissioner?,Foxwoods
Liberal_Party_of_Australia,Were utilities publically or privately owned in Menzie's economy?,publicly
Pharmaceutical_industry,Who led the congressional hearings?,Senator Estes Kefauver
American_Idol,What was the Las Vegas round called in season twelve?,Sudden Death
Annelid,What is movement by ripples called?,peristalsis
Steven_Spielberg,What was Spielberg bullied because of?,anti-Semitic prejudice
Sexual_orientation,What biological factors do they believe plays a complicated part in sexual orientation?,"a complex interplay of genetic factors and the early uterine environment, they favor biological models for the cause"
"Atlantic_City,_New_Jersey",How much land did Morgan Stanley purchase?,20 acres
Gothic_architecture,"In Britain after 1837, what was the Gothic revival known as?",Victorian Gothic
Marshall_Islands,What part of the Marshall Islands experienced drought in 2013?,the northern atolls
Northwestern_University,How many full-time faculty members does Northwestern employ?,"3,401"
Genome,What are two types of non-repetitive DNA?,Protein-coding genes and RNA-coding genes
"Punjab,_Pakistan",When did India and Pakistan fight in Punjab?,1965 and 1971
Gramophone_record,When did RCA release the 45?,March 1949
Marshall_Islands,What is the main focus of the Marshall Islands' economy?,service
Virgil,"Who tried to pay off veterans with land, some of which possibly belonged to Virgil?",Octavian
Computer_security,What are attacks where innocent systems are fooled into sending traffic to the victom called?,reflection and amplification attacks
Glass,What component gives glass the ability to conduct electricity?,alkali metal ions
Solar_energy,What is the amount of solar energy absorbed by the earth?,"approximately 3,850,000 exajoules (EJ) per year"
Armenia,When did the Tehcir Law come to fruition?,29 May 1915
Dell,What year did the Blackstone Group express interest in acquiring Dell?,2013
Mary_(mother_of_Jesus),What did Gabriel announce to Mary at the Annunciation?,her divine selection to be the mother of Jesus
